"State","Population / Electoral Votes","Electoral Votes"
"Wyoming",192137,3
"Vermont",208670,3
"D. C.",210774,3
"North Dakota",233209,3
"Alaska",243816,3
"Rhode Island",262573,4
"South Dakota",277784,3
"Delaware",305697,3
"New Hampshire",330179,4
"Maine",332298,4
"Montana",335047,3
"Hawaii",348078,4
"West Virginia",371082,5
"Nebraska",371105,5
"Idaho",398932,4
"New Mexico",417107,5
"Nevada",459821,6
"Utah",475881,6
"Kansas",480984,6
"Arkansas",491521,6
"Mississippi",497487,6
"Iowa",512364,6
"Connecticut",512906,7
"South Carolina",524858,9
"Alabama",535780,9
"Minnesota",537913,10
"Oklahoma",544974,7
"Kentucky",547551,8
"Oregon",557050,7
"Wisconsin",572639,10
"Washington",574751,12
"Louisiana",575236,8
"Colorado",576398,9
"Tennessee",586931,11
"Maryland",588456,10
"Indiana",594303,11
"Arizona",595750,11
"Missouri",602198,10
"Massachusetts",604194,11
"Michigan",617710,16
"Georgia",619996,16
"Virginia",629682,13
"New Jersey",633185,14
"Pennsylvania",638176,20
"Ohio",641345,18
"Illinois",643762,20
"North Carolina",650138,15
"Florida",666123,29
"New York",674836,29
"Texas",685768,38
"California",691662,55
